Model,Dataset,Reference audio path,Audio path,Speaker ID,Duration reference audio,Duration audio,RTF GPU,RTF CPU,SECS,Input text,Transcription,WER,Evaluator 1 OS,Evaluator 1 Sim-OS,Evaluator 1 real or fake,Evaluator 2 OS,Evaluator 2 Sim-OS,Evaluator 2 real or fake
YourTTS,Spanish,audio/Spanish/locutor2_audio_364.wav,synthesized_audios/YourTTS/Spanish/locutor2_audio_364_YourTTS.wav,locutor2,1.5789569160997732,5.429333333333333,0.5890718114165285,5.266546629466987,0.8113955,La perseverancia es la clave que desbloquea puertas aparentemente imposibles., La perseverancia es la clave que desbloquea puertas aparentemente imposibles.,0.0,1.0,,,,,
YourTTS,Spanish,audio/Spanish/locutor2_audio_15215_15216.wav,synthesized_audios/YourTTS/Spanish/locutor2_audio_15215_15216_YourTTS.wav,locutor2,6.2693877551020405,3.7546666666666666,0.0884587326171723,0.7913788264658456,0.8629391,"Vive la vida con intensidad, no con prisa.", Y de la vida con intensidad no comprisa.,0.5,1.0,,,,,
YourTTS,Spanish,audio/Spanish/locutor2_audio_29797.wav,synthesized_audios/YourTTS/Spanish/locutor2_audio_29797_YourTTS.wav,locutor2,5.421859410430839,6.645333333333333,0.0880064134804433,0.71788757189059,0.84390956,La brisa fresca del parque llevaba consigo risas de niños y el canto de pájaros en los árboles., La brisa fresca del parque llevaba con sigo risas de niños y el canto de pajaros en los árboles.,0.1666666666666666,,2.0,,,,
YourTTS,Spanish,audio/Spanish/locutor2_audio_7682.wav,synthesized_audios/YourTTS/Spanish/locutor2_audio_7682_YourTTS.wav,locutor2,2.9257142857142857,9.578666666666669,0.022994093016155,0.1959514547707003,0.9028714,La música tiene el poder de transportarnos a diferentes lugares y momentos. Es como un billete mágico para un viaje emocional.," La música tiene el poder de transportarnos a diferentes lugares y momentos, es como un billete mágico para un viaje emocional.",0.0,2.0,,,,,
YourTTS,Spanish,audio/Spanish/locutor2_audio_18383.wav,synthesized_audios/YourTTS/Spanish/locutor2_audio_18383_YourTTS.wav,locutor2,2.2407256235827666,8.853333333333333,0.0241462904286671,0.2250552402423941,0.79317355,"Las cicatrices son recordatorios de las batallas que hemos librado, pero también son testimonios de nuestra fuerza para superarlas."," Las cicatrices son recordatorios de las batallas que hemos librado, pero también son testimonios de nuestra fuerza para superarlas.",0.0,,,,,,
YourTTS,Spanish,audio/Spanish/locutor2_audio_69343_69344_69345_69346.wav,synthesized_audios/YourTTS/Spanish/locutor2_audio_69343_69344_69345_69346_YourTTS.wav,locutor2,8.185034013605442,3.445333333333333,0.0475959235300589,0.3835873634817708,0.8499465,"Me encanta esa canción, ¿la has escuchado?"," Me encanta esa canción, la has escuchado.",0.0,2.0,,,,,
YourTTS,Spanish,audio/Spanish/locutor2_audio_22842_22843.wav,synthesized_audios/YourTTS/Spanish/locutor2_audio_22842_22843_YourTTS.wav,locutor2,5.015510204081632,8.042666666666667,0.0229738850334278,0.1788265763904325,0.86450064,"Las lágrimas en sus ojos reflejaban tormentas internas, mientras el cielo lloraba en sintonía con los pesares del alma."," Las ladrimas y sus ojos refiejan pantomentas internas, mientras el cielo lloraba en sintonía con los pesares del alma.",0.2105263157894736,,,,,,
YourTTS,Spanish,audio/Spanish/locutor2_audio_23189.wav,synthesized_audios/YourTTS/Spanish/locutor2_audio_23189_YourTTS.wav,locutor2,3.831292517006802,4.32,0.0384979777865939,0.3354435753213672,0.8520576,¡Increíble cómo las cosas pueden cambiar en un instante!, Intreible como las cosas pueden cambiar en un instante.,0.2222222222222222,3.0,,,,,
YourTTS,Spanish,audio/Spanish/locutor2_audio_52122_52123.wav,synthesized_audios/YourTTS/Spanish/locutor2_audio_52122_52123_YourTTS.wav,locutor2,10.80888888888889,5.472,0.0329236799513387,0.3209158922164826,0.867878,"Estar en las nubes es normal de vez en cuando, pero hay que bajar a la Tierra."," Estar en las nubes es normal de vez en cuando, pero hay que bajar a la tierra.",0.0,2.0,,1.0,,,
YourTTS,Spanish,audio/Spanish/locutor2_audio_60436.wav,synthesized_audios/YourTTS/Spanish/locutor2_audio_60436_YourTTS.wav,locutor2,2.449705215419501,6.464,0.0294910946694931,0.268472369386773,0.81901366,Mi nivel de adultez es directamente proporcional a cuánto disfruto comprar cosas para la casa., Mi nivel de adultes es directamente proporciona la cuánto disfruto comprar cosas para la casa.,0.2,1.0,,,,,
