Reference audio path,Synthesized audio path,Text,Speaker ID,Original speaker ID,RTF GPU,RTF CPU,SECS
ClonedAudios/3922/3922_715_000006_000003.wav,ClonedAudiosout/3922/locutor4/audio_22492_22493_22494.out.wav, —Le prepararemos un baño y le proporcionaremos ropa limpia; el médico no tardará en llegar.,3922,locutor4,1.2425604842537563,1.9233569494289617,0.6129659
ClonedAudios/3922/3922_715_000023_000005.wav,ClonedAudiosout/3922/locutor4/audio_16440.out.wav, Siempre han existido personas que han gustado de relacionar los lugares viejos con cualesquiera figuras de origen poético.,3922,locutor4,1.0198792442679403,1.5928345086345639,0.73593444
ClonedAudios/3922/3922_715_000118_000003.wav,ClonedAudiosout/3922/locutor4/audio_5732.out.wav," Pero es evidente que los viejos relatos bíblicos no pierden nada de su encanto, aunque sólo se vea en ellos un conjunto de simpáticas leyendas y narraciones populares.",3922,locutor4,0.6651365697929045,1.21281078905187,0.6760577
ClonedAudios/3922/3922_715_000071_000001.wav,ClonedAudiosout/3922/locutor4/audio_17514_17515.out.wav," Así, se dijo en mil novecientos treinta y cuatro que había sido visto al sudeste de Nueva Zelanda repetidas veces un buque de aspecto fantasmal.",3922,locutor4,0.7603704078513899,1.3598420156942765,0.67523986
ClonedAudios/3922/3922_723_000015_000000.wav,ClonedAudiosout/3922/locutor4/audio_24488_24489.out.wav," Clotilde dio un manotazo a una pila de libros que esperaban su turno para ser colocados, haciéndolos caer desparramados por el suelo.",3922,locutor4,0.908555605856236,1.2986925664699105,0.6436774
ClonedAudios/3922/3922_723_000066_000001.wav,ClonedAudiosout/3922/locutor4/audio_21597.out.wav," Los rumores de que la guerra se perdía llevaron a los padres de Clotilde a plantearse regresar a Berlín, ahora que todavía los caminos estaban en manos de los alemanes.",3922,locutor4,0.7255966376720203,0.9622509742695683,0.7047498
ClonedAudios/3922/3922_715_000083_000004.wav,ClonedAudiosout/3922/locutor4/audio_21922_21923.out.wav, De nuevo fue en busca de Frau Jutta; encontró a la cocinera desayunando en el comedor de servicio.,3922,locutor4,1.0379518409443165,1.3926971732259874,0.6428311
ClonedAudios/3922/3922_715_000109_000000.wav,ClonedAudiosout/3922/locutor4/audio_15891_15892.out.wav," Se han descubierto en Gante unos viejos documentos que contenían la correspondencia cruzada entre el conde Luis de Flandes, de aquella época, y los habitantes de Edomsharde.",3922,locutor4,0.6583502702414988,0.9797492574050057,0.55311704
ClonedAudios/3922/3922_715_000115_000012.wav,ClonedAudiosout/3922/locutor4/audio_21528.out.wav, La única ropa de abrigo de la que pudieron disponer fueron las mantas que se usaban para los caballos.,3922,locutor4,1.1521945148706436,1.832252698133148,0.7352793
ClonedAudios/3922/3922_715_000005_000001.wav,ClonedAudiosout/3922/locutor4/audio_17084.out.wav," De acuerdo con los cronistas japoneses, estos fenómenos se han producido con frecuencia inusitada.",3922,locutor4,1.2215635273605585,1.7475854259918158,0.71986
